Course_Name,Code,Section,Class_type,Time,Days,Building,Room,Teacher,Lab_Time,Lab_Days,Lab_Building,Lab_Room,Lab_Teacher
CPCS 202 - برمجه 1,30639,A10,نظري/عملي,9:30 AM - 10:45 AM,MW,061,102F,سهيلة محمد صندقجي (P),11:00 AM - 12:20 PM,U,061,138G,نوف عبدالكريم ابوخضير 
CPCS 202 - برمجه 1,30640,A11,نظري/عملي,9:30 AM - 10:45 AM,MW,061,124F,نوف عبدالكريم ابوخضير (P),11:00 AM - 12:20 PM,R,061,137G,ساره سجاد الحسن 
CPCS 202 - برمجه 1,30641,A12,نظري/عملي,8:00 AM - 9:15 AM,MW,061,102F,نوف عبدالكريم ابوخضير (P),9:30 AM - 10:50 AM,U,061,137G,نوف عبدالكريم ابوخضير 
CPCS 202 - برمجه 1,30643,A13,نظري/عملي,8:00 AM - 9:15 AM,MW,061,124F,رانيا عبدالرحمن مله (P),9:30 AM - 10:50 AM,R,061,137G,ساره سجاد الحسن 
CPCS 202 - برمجه 1,30644,A14,نظري/عملي,8:00 AM - 9:15 AM,MW,061,145F,سمر عبد الله أحمد بابروك (P),9:30 AM - 10:50 AM,T,061,107G,سمر عبد الله أحمد بابروك 
CPCS 202 - برمجه 1,30648,A15,نظري/عملي,11:00 AM - 12:15 PM,MW,061,102F,سهيلة محمد صندقجي (P),8:00 AM - 9:20 AM,T,061,107G,سهيلة محمد صندقجي 
CPCS 202 - برمجه 1,30629,A6,نظري/عملي,1:00 PM - 2:15 PM,MW,061,145F,سمر عبد الله أحمد بابروك (P),9:30 AM - 10:50 AM,R,061,107G,سمر عبد الله أحمد بابروك 
CPCS 202 - برمجه 1,30633,A7,نظري/عملي,1:00 PM - 2:15 PM,MW,061,124F,سهيلة محمد صندقجي (P),9:30 AM - 10:50 AM,U,061,130G,بسمه محمد شعيب 
CPCS 202 - برمجه 1,30636,A8,نظري/عملي,11:00 AM - 12:15 PM,MW,061,145F,سمر عبد الله أحمد بابروك (P),8:00 AM - 9:20 AM,R,061,107G,سمر عبد الله أحمد بابروك 
CPCS 202 - برمجه 1,30637,A9,نظري/عملي,11:00 AM - 12:15 PM,MW,061,104G,نوف عبدالكريم ابوخضير (P),8:00 AM - 9:20 AM,U,061,130G,نوف عبدالكريم ابوخضير 
