Course_Name,Code,Section,Days,Teacher,Lab_Days,StartTime,EndTime,LabStart,LabEnd
CPCS 202 - برمجه 1,70959,AS,TRU,TBA,R,8:00 AM,8:50 AM,12:00 PM,1:20 PM
CPCS 202 - برمجه 1,64178,BAR,MW,TBA,R,8:00 AM,9:15 AM,9:30 AM,10:50 AM
CPCS 202 - برمجه 1,56801,CS1,TRU,TBA,R,1:00 PM,1:50 PM,5:30 PM,6:50 PM
CPCS 202 - برمجه 1,56275,CS2,MW,TBA,M,2:30 PM,3:50 PM,5:30 PM,6:50 PM
CPCS 202 - برمجه 1,56276,CS3,MW,TBA,U,4:00 PM,5:20 PM,11:00 AM,12:20 PM
CPCS 202 - برمجه 1,56277,CS4,M,TBA,,7:00 PM,8:20 PM,,
CPCS 202 - برمجه 1,64392,DAR,MW,TBA,R,9:30 AM,10:45 AM,11:00 AM,12:20 PM
CPCS 202 - برمجه 1,70987,ES,TRU,TBA,T,10:00 AM,10:50 AM,2:00 PM,3:20 PM
CPCS 202 - برمجه 1,70997,FS,TRU,نوف عبدالكريم ابوخضير (P),W,11:00 AM,11:50 AM,8:00 AM,9:20 AM
CPCS 202 - برمجه 1,71000,GS,MW,TBA,M,11:00 AM,12:15 PM,8:00 AM,9:20 AM
CPCS 202 - برمجه 1,56278,ST1,TRU,TBA,R,10:00 AM,10:50 AM,11:00 AM,12:20 PM
CPCS 202 - برمجه 1,56279,ST2,TRU,TBA,T,9:00 AM,9:50 AM,7:00 PM,8:20 PM
CPCS 203 - برمجه 2,73561,BCS,MW,علا عبدالرحيم الصاعدي (P),R,8:00 AM,9:15 AM,1:00 PM,2:20 PM
CPCS 203 - برمجه 2,73569,BIS,MW,عهود عبدالله الزمزمي (P),T,8:00 AM,9:15 AM,9:30 AM,10:50 AM
CPCS 203 - برمجه 2,73574,BIT,MW,عبير عادل الهذلي (P),U,8:00 AM,9:15 AM,9:30 AM,10:50 AM
CPCS 203 - برمجه 2,56280,C10,TRU,TBA,W,4:00 PM,4:50 PM,5:30 PM,6:50 PM
CPCS 203 - برمجه 2,56281,C11,MW,TBA,M,9:30 AM,10:50 AM,5:30 PM,6:50 PM
CPCS 203 - برمجه 2,56282,C12,MW,TBA,T,9:30 AM,10:50 AM,5:30 PM,6:50 PM
CPCS 203 - برمجه 2,56283,CS1,TRU,TBA,R,4:00 PM,4:50 PM,5:30 PM,6:50 PM
CPCS 203 - برمجه 2,56284,CS2,MW,TBA,U,9:30 AM,10:50 AM,5:30 PM,6:50 PM
CPCS 203 - برمجه 2,56285,CS3,TRU,TBA,W,4:00 PM,4:50 PM,5:30 PM,6:50 PM
CPCS 203 - برمجه 2,56286,CS4,TRU,TBA,U,10:00 AM,10:50 AM,7:00 PM,8:20 PM
CPCS 203 - برمجه 2,56287,CS5,MW,TBA,T,11:00 AM,12:20 PM,5:30 PM,6:50 PM
CPCS 203 - برمجه 2,56288,CS6,TRU,TBA,U,2:00 PM,2:50 PM,5:30 PM,6:50 PM
